data\ca\154913\10202701\751826301.html,Calgary Airport Marriott In-Terminal Hotel,"""Room 331. \nWe were moved from the Delta to the Marriott.\nWe were there March 24th when most flights were canceled. Covid19.\nConstant loud noise outside. Sounds like a jet outside but no planes were there. Still dont know what that was but it never stopped. Also could hear the vehicles driving around the tarmac. \nThe ac\u002Fheater would kick on very loud then slowly reduce.\nI am not one to ever give bad reviews but be warned don't ever stay in room 331.\nI would rather stay at the Delta.",2,negative,"March 25, 2020",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\752328687.html,Calgary Airport Marriott In-Terminal Hotel,"""We were flying through Calgary on our way home from Mexico during the Covid-19 outbreak.\n\nWe had originally booked the Delta but we were contacted by the manager and moved to the newer Marriott In-Terminal hotel. \n\nIt is a beautiful new hotel set right in the terminal. We arrived that the staff took exceptional care to ensure proper safety standards were being met.\n\nAfter a quick check in we stopped to place an order at the restaurant to take to our room. It was ready very quickly and the food was delicious. I had the sliders and my husband the steak sandwich.\n\nThe room was well appointed and although some of the amenities had to be removed because of the outbreak, it was still very nice and we had everything we needed.\n\nThe beds are so comfortable. It is like sleeping on a cloud and the pillows....amazing. I need to have these in my house.\n\nA big thank you to Kayod Gbadamassi and his staff for providing us with a wonderful stress free experience in these turbulent times.",5,positive,"April 6, 2020",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\759771534.html,Calgary Airport Marriott In-Terminal Hotel,"""I had a one day layover waiting for an international flight.  I was shocked when I walked from the terminal straight to the reception desk.  They quickly issued the room key, and went to the room.  The windows faced the airport itself, quite busy.  If you are a light sleeper, maybe you may want a room away from the airport operations, the noise didn't bother me at all.  The Wi-Fi, worked well, however there are fees for the use of the amenity.  Food was well prepared and fresh, room service was fast.  The fitness facility had enough machines to get a decent workout.  There was also a pool and whirlpool that I did not get a chance to use.  Check-out was easy and straightforward and I walked directly to the connecting flight from there.  All in all a very convenient location for a nice hotel.",5,positive,"July 12, 2020",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\763272806.html,Calgary Airport Marriott In-Terminal Hotel,"""Stayed one night at the height of the pandemic; no services whatsoever at the hotel and everything in the terminal closed. So, what was I to do for a coffee at 5:30 in the morning? Went to reception, asked for a coffee and the girl went somewhere in the back - 3 minutes later I had my coffee.\nIt wasn't specialty coffee, wasn't very hot - but I did appreciate the effort. Thank you.",5,positive,"August 5, 2020",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\767154737.html,Calgary Airport Marriott In-Terminal Hotel,"""Worked well when our carrier changed our flight.  The room was very expensive ($321.00), considering we were looking at a parking lot(s).  Room service: -2 cheeseburger platters and  1lb of wings with two pop (no booze) and 2 desserts was $80 freaking dollars. Will not stay here again",2,negative,"August 26, 2020",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\775794621.html,Calgary Airport Marriott In-Terminal Hotel,"""This hotel is highly convenient being in the terminal.  For me, I had two legs to get to Calgary, then another to get to Grande Prairie.  Stopped here both directions.  Great service.  Friendly staff.  Good food in the lobby restaurant, and in the upstairs club for breakfast.",5,positive,"October 27, 2020",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\775807227.html,Calgary Airport Marriott In-Terminal Hotel,"""It was such a great feeling walking off a long flight and getting to the hotel without leaving the terminal! The check in was easy and staff were very welcoming. The hotel is clean, modern and well organized. Our room was large, clean and everything was in good working order. Great view of the gates with Calgary\u2019s office towers in the distance. The hotel is perfectly located for quick access to domestic and international check in, as well as for parking and car rentals. For lay overs or if you\u2019re arriving late with a drive ahead of you, then this is an excellent option for the night. Great addition to YYC.",5,positive,"October 27, 2020",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\776158619.html,Calgary Airport Marriott In-Terminal Hotel,"""Paid over $220 for one night. The room was the most basic we have ever stayed in. There were two towels, one each only. One soap for us to use between us.More like a low end motel than a hotel. We ordered a coffee for room service and no one showed up. Restuarant not open. Supremely disappointed. Definitely using the pandemic as an excuse for everything. Other hotels in Vancouver, Calgary are the same standard they always have been. Not worth over 200 per night.",1,negative,"October 31, 2020",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\779656362.html,Calgary Airport Marriott In-Terminal Hotel,"""The only thing formidable about this hotel is that it is attached to the airport terminal, convenient for early morning flights.  Paid nearly $400 for a \u2018club family suite\u2019 -  club lounge closed due to COVID (and no mention of that while booking) and room super basic overlooking the car park. Cheap couch and coffee table in \u2018living room\u2019.  They comped us room service breakfast to make up for the closed lounge but then charged to deliver it.  Hilarious.  And they overcharged us for other food that had been \u2018comped\u2019.  Unless you\u2019re bent on staying in the airport I would opt for one of the other hotels in the vicinity.",2,negative,"December 20, 2020",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\783491734.html,Calgary Airport Marriott In-Terminal Hotel,"""Stayed here after a ski vacation I had with my son.  The price was decent due to Covid, but the staff was still great and the room was well appointed and comfortable.  I had trouble with my flight and they accommodated me with a half day rate at the last minute and really saved me sitting for 12 hours.  Thanks again.",4,positive,"February 24, 2021",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\786472289.html,Calgary Airport Marriott In-Terminal Hotel,"""Stayed here for 1 night a few months back while in transit (instead of overnighting at the terminal). I actually originally booked their sister hotel, Delta, but that property got closed last minute without any notification, with all guests getting transferred into the Marriott instead. Very convenient location inside the terminal, very pleasant and helpful staff. The standard room I got was spacious, very clean and very comfortable. The restaurant was closed due to Covid, but the in-room service was good with good menu (veggie options) and tasty enough food. Did not use any other facilities because of Covid restrictions, but it was a good comfortable stay nonetheless amid this crazy pandemic. Would recommend to others and would gladly return here when in need of an in-terminal hotel.",5,positive,"April 13, 2021",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\794777186.html,Calgary Airport Marriott In-Terminal Hotel,"""We travelled to Calgary and stayed here for the required 3-day quarantine. \n\nIt was very easy and convenient to get to as it is just a short walk from the gate or after the required Covid-19 swab.\n\nWe stayed in the 2- room Family Suite which was very spacious and comfortable for a family of 4. The staff are very helpful and polite (from reception, housekeeping, and guest services), and the food was surprisingly delicious (since we had to order in for all those 3 days)!\n\nRecommended!",5,positive,"June 29, 2021",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\805392317.html,Calgary Airport Marriott In-Terminal Hotel,"""My Westjet connecting flight was cancelled and rebooked the next morning. I stayed at the Marriott for convenience due to the short timeframe and the cost was ridiculous at $309.00 for one night.....and I stayed less than 15 hours! I am okay paying a good price if it's worth it but it definitely wasn't 4 or 5 star in my view. On top of everything else, the toilet rocked, I wasn't able to connect to Wifi and there were only a limited number of television channels.",2,negative,"August 21, 2021",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\805559021.html,Calgary Airport Marriott In-Terminal Hotel,"""I stayed at the Calgary Marriott In Terminal hotel prior to my flight to Ottawa. It was a convenient stay and I was able to get some much needed rest. It is easy to park your vehicle at Park2Go and shuttle over to the lobby. The bed was comfortable and the room clean and well-equipped. There are a few things to note solely for feedback's sake: In-room coffee station lacked creamer and the coffee is not great. I am surprised that for such a property there are no Keurig machines.  Service at check-in was rushed and not very friendly (Tejas) - end of shift so that might explain... It is very convenient to stay here. You can check-in the night before and walk over to your gate. Next time I will bring the wife and kids! Thank you for a very good stay.",4,positive,"August 22, 2021",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\807368977.html,Calgary Airport Marriott In-Terminal Hotel,"""We had a great stay and very well located. There is a small temporary parking in front in case if you need to unload from your rental car. The service was good and the restaurant as well. We would definitely come back if we are travelling around Calgary.",5,positive,"August 30, 2021",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
data\ca\154913\10202701\807372522.html,Calgary Airport Marriott In-Terminal Hotel,"""Everything about this property is perfect.  From the friendly greeting after a long flight to check-out the service was on spec. \n\nMy request an early check-in was granted, as was an airside view.  My room was clean, comfortable and quiet.  Pleasantly surprised when I returned the second day and my room was cleaned without asking.  So many other hotels lately do not replenish supplies or bring fresh towels due to Covid on consecutive nights.\n\nAll meals at the restaurant were excellent, with prompt and friendly servers.  I wouldn\u2019t hesitate to return or recommend this property to others.",5,positive,"August 30, 2021",2008 Airport Road NE,"('Calgary',)",Alberta,T2E 3B9
